janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre;;;
32;12;9;35;64;49;69;71;64;47;38;21;;;
34;24;11;38;67;62;62;73;66;46;42;21;;;
35;32;13;35;65;67;59;73;66;48;56;25;;;
-99;17;14;36;61;67;57;73;64;43;42;30;;;
29;9;15;39;65;52;62;69;69;39;35;29;;;
33;6;11;45;56;48;66;69;65;51;36;26;;;
32;11;18;39;59;51;64;64;63;54;34;23;;;
27;14;21;41;63;52;62;63;63;44;36;25;;;
24;20;21;50;57;50;62;64;62;41;35;32;;;
24;20;19;53;50;50;64;68;59;48;34;32;;;
24;23;21;35;56;58;66;69;62;50;25;32;;;
18;21;25;39;66;62;71;68;63;48;21;31;;;
15;16;30;42;64;60;70;62;60;51;23;28;;;
18;15;26;44;68;55;70;64;56;54;-99;22;;;
23;16;24;50;60;61;72;66;63;52;-99;10;;;
16;21;14;56;63;64;76;63;56;51;27;5;;;
18;23;8;57;69;68;76;63;-99;52;-99;8;;;
19;23;11;47;64;69;69;63;54;52;33;17;;;
19;25;21;49;67;70;69;68;61;53;33;11;;;
15;17;28;50;49;65;71;67;64;43;25;14;;;
24;10;29;53;57;67;71;63;63;42;29;20;;;
14;10;28;36;59;74;69;56;66;41;29;18;;;
13;8;30;38;63;73;65;56;52;38;28;17;;;
15;12;28;44;64;69;64;59;49;39;28;15;;;
15;4;31;48;59;64;67;64;44;37;27;16;;;
23;0;36;47;54;69;72;66;45;34;26;17;;;
20;1;26;48;64;71;76;69;46;37;23;20;;;
20;3;20;49;59;72;74;70;48;41;29;21;;;
19;;22;52;60;73;70;72;41;32;23;25;;;
29;;24;60;67;72;66;64;42;30;9;24;;;
24;;30;;49;;68;64;;32;12;;;;
